Journal Abbreviation,Journal Name,Article,Author,Year,Volume
JFE,JOURNAL OF FINANCIAL ECONOMICS,Taxation and executive compensation: Evidence from stock options,"Bird, Andrew",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,Robust Bond Risk Premia,"Bauer, Michael D.; Hamilton, James D.",2018,
CAR,CONTEMPORARY ACCOUNTING RESEARCH,Auditor Face-Work at the Annual General Meeting,"Johed, Gustav; Catasus, Bino",2018,
HRM,HUMAN RESOURCE MANAGEMENT,Task interdependence and the discrimination of gay men and lesbians in the workplace,"Lim, Angeline Cuifang; Trau, Raymond Nam Cam; Foo, Maw-Der",2018,57
ROES,REVIEW OF ECONOMIC STUDIES,Commitment Contracts,"Bond, Philip; Sigurdsson, Gustav",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,Pay inequality and corporate divestitures,"Feldman, Emilie R.; Gartenberg, Claudine; Wulf, Julie",2018,39
SEJ,STRATEGIC ENTREPRENEURSHIP JOURNAL,Accelerator expertise: Understanding the intermediary role of accelerators in the development of the Bangalore entrepreneurial ecosystem,"Goswami, Ketan; Mitchell, J. Robert; Bhagavatula, Suresh",2018,
JMS,JOURNAL OF MANAGEMENT STUDIES,The Legitimacy of Inequality: Integrating the Perspectives of System Justification and Social Judgment,"Haack, Patrick; Sieweke, Jost",2018,
HR,HUMAN RELATIONS,"The transition to part-time: How professionals negotiate ""reduced time and workload' i-deals and craft their jobs","Gascoigne, Charlotte; Kelliher, Clare",2018,
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,How the frequency and amount of corporate donations affect consumer perception and behavioral responses,"Jin, Liyin; He, Yanqun",2018,46
JFE,JOURNAL OF FINANCIAL ECONOMICS,Do an insider's wealth and income matter in the decision to engage in insider trading?,"Kallunki, Jenni; Kallunki, Juha-Pekka; Nilsson, Henrik; Puhakka, Mikko",2018,130
JMS,JOURNAL OF MANAGEMENT STUDIES,Let's Talk about Language: A Review of Language-Sensitive Research in International Management,"Karhunen, Paivi; Kankaanranta, Anne; Louhiala-Salminen, Leena; Piekkari, Rebecca",2018,55
JMR,JOURNAL OF MARKETING RESEARCH,Building a Social Network for Success,"Ansari, Asim; Stahl, Florian; Heitmann, Mark; Bremer, Lucas",2018,
ROES,REVIEW OF ECONOMIC STUDIES,Optimal Fiscal Policy with Recursive Preferences,"Karantounias, Anastasios G.",2018,85
MS,MANAGEMENT SCIENCE,"Individual Differences in Correspondence Bias: Measurement, Consequences, and Correction of Biased Interpersonal Attributions","Scopelliti, Irene; Min, H. Lauren; McCormick, Erin; Kassam, Karim S.; Morewedge, Carey K.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,"Using UNPRME to Teach, Research, and Enact Business Ethics: Insights from the Catholic Identity Matrix for Business Schools","Goodpaster, Kenneth E.; Maines, T. Dean; Naughton, Michael; Shapiro, Brian",2018,
JMAN,JOURNAL OF MANAGEMENT,Integrating Knowledge Activities for Team Innovation: Effects of Transformational Leadership,"Jiang, Yuan; Chen, Chao C.",2018,
JMAN,JOURNAL OF MANAGEMENT,Cognitive and Affective Job Insecurity: A Meta-Analysis and a Primary Study,"Jiang, Lixin; Lavaysse, Lindsey M.",2018,
OR,OPERATIONS RESEARCH,Technical Note-The Competitive Facility Location Problem in a Duopoly: Advances Beyond Trees,"Gur, Yonatan; Saban, Daniela; Stier-Moses, Nicolas E.",2018,
JCR,JOURNAL OF CONSUMER RESEARCH,Minions for the Rich? Financial Status Changes How Consumers See Products with Anthropomorphic Features,"Kim, Hye-Young; McGill, Ann L.",2018,
AR,ACCOUNTING REVIEW,How Adopting New Performance Measures Affects Subjective Performance Evaluations: Evidence from EVA Adoption by Chinese State-Owned Enterprises,"Du, Fei; Erkens, David H.; Young, S. Mark; Tang, Guliang",2018,
AMR,ACADEMY OF MANAGEMENT REVIEW,"THE ""MAKE AND/OR BUY"" DECISIONS OF CORPORATE POLITICAL LOBBYING: INTEGRATING THE ECONOMIC EFFICIENCY AND LEGITIMACY PERSPECTIVES","Jia, Nan",2018,
MS,MANAGEMENT SCIENCE,Competition and Credit Ratings After the Fall,"Flynn, Sean; Ghent, Andra",2018,
OS,ORGANIZATION SCIENCE,How Do Firms Appropriate Value from Employees with Transferable Skills? A Study of the Appropriation Puzzle in Actively Managed Mutual Funds,"Sevcenko, Victoria; Ethiraj, Sendil",2018,
ECMTR,ECONOMETRICA,Strategic Trading in Informationally Complex Environments,"Lambert, Nicolas S.; Ostrovsky, Michael; Panov, Mikhail",2018,
JF,JOURNAL OF FINANCE,On the Asset Allocation of a Default Pension Fund,"Dahlquist, Magnus; Setty, Ofer; Vestman, Roine",2018,73
RP,RESEARCH POLICY,Concentration on the few: mechanisms behind a falling share of innovative firms in Germany,"Rammer, Christian; Schubert, Torben",2018,
OS,ORGANIZATION SCIENCE,A Self-Fulfilling Cycle of Coercive Surveillance: Workers' Invisibility Practices and Managerial Justification,"Anteby, Michel; Chan, Curtis K.",2018,
AER,AMERICAN ECONOMIC REVIEW,Will a Five-Minute Discussion Change Your Mind? A Countrywide Experiment on Voter Choice in France,"Pons, Vincent",2018,
JMIS,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,"Special Section: The Transformative Value of Cloud Computing: A Decoupling, Platformization, and Recombination Theoretical Framework","Benlian, Alexander; Kettinger, William J.; Sunyaev, Ali; Winkler, Till J.",2018,
ISR,INFORMATION SYSTEMS RESEARCH,"Rules, Practices, and Information Technology: A Trifecta of Organizational Regulation","de Vaujany, Francois-Xavier; Fomin, Vladislav V.; Haefliger, Stefan; Lyytinen, Kalle",2018,29
JAP,JOURNAL OF APPLIED PSYCHOLOGY,"Changing Experiences of Work Dirtiness, Occupational Disidentification, and Employee Withdrawal","Schaubroeck, John M.; Lam, Long W.; Lai, Jennifer Y. M.; Lennard, Anna C.; Peng, Ann C.; Chan, Ka Wai",2018,103
JCP,JOURNAL OF CONSUMER PSYCHOLOGY,Do Mothers Spend More on Daughters While Fathers Spend More on Sons?,"Nikiforidis, Lambrianos; Durante, Kristina M.; Redden, Joseph P.; Griskevicius, Vladas",2018,
ROES,REVIEW OF ECONOMIC STUDIES,Distributional Comparative Statics,"Jensen, Martin Kaae",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Investigating the Effects of Anger and Guilt on Unethical Behavior: A Dual-Process Approach,"Motro, Daphna; Ordonez, Lisa D.; Pittarello, Andrea; Welsh, David T.",2018,
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Who Should Finance the Supply Chain? Impact of Credit Ratings on Supply Chain Decisions,"Kouvelis, Panos; Zhao, Wenhui",2018,20
JBE,JOURNAL OF BUSINESS ETHICS,Media Depictions of CEO Ethics and Stakeholder Support of CSR Initiatives: The Mediating Roles of CSR Motive Attributions and Cynicism,"Ogunfowora, Babatunde; Stackhouse, Madelynn; Oh, Won-Yong",2018,
QJE,QUARTERLY JOURNAL OF ECONOMICS,DO ENERGY EFFICIENCY INVESTMENTS DELIVER? EVIDENCE FROM THE WEATHERIZATION ASSISTANCE PROGRAM,"Fowlie, Meredith; Greenstone, Michael; Wolfram, Catherine",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,Knowledge diversity and coordination: The effect of intrafirm inventor task networks on absorption speed,"Moreira, Solon; Markus, Arjan; Laursen, Keld",2018,
HR,HUMAN RELATIONS,"When does an issue trigger change in a field? A comparative approach to issue frames, field structures and types of field change","Furnari, Santi",2018,
ISR,INFORMATION SYSTEMS RESEARCH,Work-Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,"Sarker, Saonee; Ahuja, Manju; Sarker, Suprateek",2018,
JPE,JOURNAL OF POLITICAL ECONOMY,Life Cycle Wage Growth across Countries,"Lagakos, David; Moll, Benjamin; Porzio, Tommaso; Qian, Nancy; Schoellman, Todd",2018,
OR,OPERATIONS RESEARCH,Service Pricing with Loss-Averse Customers,"Yang, Liu; Guo, Pengfei; Wang, Yulan",2018,
JPE,JOURNAL OF POLITICAL ECONOMY,Multiproduct Pricing Made Simple,"Armstrong, Mark; Vickers, John",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Sustainable Human Resource Management with Salience of Stakeholders: A Top Management Perspective,"Jaerlstrom, Maria; Saru, Essi; Vanhala, Sinikka",2018,152
POM,PRODUCTION AND OPERATIONS MANAGEMENT,"Optimality of (s,S) Inventory Policies under Renewal Demand and General Cost Structures","Perera, Sandun; Janakiraman, Ganesh; Niu, Shun-Chen",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,Do investors actually value sustainability? New evidence from investor reactions to the Dow Jones Sustainability Index (DJSI),"Hawn, Olga; Chatterji, Aaron K.; Mitchell, Will",2018,
CAR,CONTEMPORARY ACCOUNTING RESEARCH,CEO Power and Relative Performance Evaluation,"Dikolli, Shane S.; Diser, Viktoria; Hofmann, Christian; Pfeiffer, Thomas",2018,35
JBE,JOURNAL OF BUSINESS ETHICS,Social Trust and Auditor Reporting Conservatism,"Chen, Deqiu; Li, Li; Liu, Xuejiao; Lobo, Gerald J.",2018,153
AER,AMERICAN ECONOMIC REVIEW,Innovation and Production in the Global Economy,"Arkolakis, Costas; Ramondo, Natalia; Rodriguez-Clare, Andres; Yeaple, Stephen",2018,
OBHDP,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,"Does gender diversity help teams constructively manage status conflict? An evolutionary perspective of status conflict, team psychological safety, and team creativity","Lee, Hun Whee; Choi, Jin Nam; Kim, Seongsu",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,Role of search for domain knowledge and architectural knowledge in alliance partner selection,"Yayavaram, Sai; Srivastava, Manish K.; Sarkar, M. B.",2018,
HR,HUMAN RELATIONS,"Beyond brokering: Sourcing agents, boundary work and working conditions in global supply chains","Soundararajan, Vivek; Khan, Zaheer; Tarba, Shlomo Yedidia",2018,
HBR,HARVARD BUSINESS REVIEW,THE CEO OF LEVI STRAUSS ON LEADING AN INCONIC BRAND BACK TO GROWTH,"Bergh, Chip",2018,
OBHDP,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,"""If hierarchical, then corrupt"": Exploring people's tendency to associate hierarchy with corruption in organizations","Fath, Sean; Kay, Aaron C.",2018,149
JBE,JOURNAL OF BUSINESS ETHICS,Dynamics for Integrative Social Contracts Theory: Norm Evolution and Individual Mobility,"Windsor, Duane",2018,
JBV,JOURNAL OF BUSINESS VENTURING,Narcissistic rhetoric and crowdfunding performance: A social role theory perspective,"Anglin, Aaron H.; Wolfe, Marcus T.; Short, Jeremy C.; McKenny, Aaron F.; Pidduck, Robert J.",2018,33
JM,JOURNAL OF MARKETING,The Effect of a Data Breach Announcement on Customer Behavior: Evidence from a Multichannel Retailer,"Janakiraman, Ramkumar; Lim, Joon Ho; Rishika, Rishika",2018,
JAR,JOURNAL OF ACCOUNTING RESEARCH,Inference with Dependent Data in Accounting and Finance Applications,"Conley, Timothy; Goncalves, Silvia; Hansen, Christian",2018,56
RP,RESEARCH POLICY,Is there a startup wage premium? Evidence from MIT graduates,"Kim, J. Daniel",2018,
JAP,JOURNAL OF APPLIED PSYCHOLOGY,Understanding the Positive Effect of Financial Compensation on Trust After Norm Violations: Evidence From fMRI in Favor of Forgiveness,"Haesevoets, Tessa; De Cremer, David; Van Hiel, Alain; Van Overwalle, Frank",2018,
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,The consequences to analyst involvement in the IPO process: Evidence surrounding the JOBS Act,"Dambra, Michael; Field, Laura Casares; Gustafson, Matthew T.; Pisciotta, Kevin",2018,
MS,MANAGEMENT SCIENCE,Local Market Characteristics and Online-to-Offline Commerce: An Empirical Analysis of Groupon,"Li, Hui; Shen, Qiaowei; Bart, Yakov",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,"Supplier Quality Management: Investment, Inspection, and Incentives","Lee, Hsiao-Hui; Li, Cuihong",2018,
JBE,JOURNAL OF BUSINESS ETHICS,What Good Does Doing Good do? The Effect of Bond Rating Analysts' Corporate Bias on Investor Reactions to Changes in Social Responsibility,"Branzei, Oana; Frooman, Jeff; Mcknight, Brent; Zietsma, Charlene",2018,
QJE,QUARTERLY JOURNAL OF ECONOMICS,INTERFIRM RELATIONSHIPS AND BUSINESS PERFORMANCE,"Cai, Jing; Szeidl, Adam",2018,
JPE,JOURNAL OF POLITICAL ECONOMY,Monotone Stochastic Choice Models: The Case of Risk and Time Preferences,"Apesteguia, Jose; Ballester, Miguel A.",2018,
JMS,JOURNAL OF MANAGEMENT STUDIES,Poverty's Monument: Social Problems and Organizational Field Emergence in Historical Perspective,"Wadhwani, R. Daniel",2018,
AMJ,ACADEMY OF MANAGEMENT JOURNAL,ENTREPRENEURIAL IMAGINATIVENESS IN NEW VENTURE IDEATION,"Kier, Alexander S.; McMullen, Jeffery S.",2018,61
AR,ACCOUNTING REVIEW,Taxes and Peer Effects,"Bird, Andrew; Edwards, Alexander; Ruchti, Thomas G.",2018,93
RP,RESEARCH POLICY,Uncovering the link between governance as an innovation process and socio-economic regime transition in cities,"Simrnons, Geoff; Giraldo, Jorge Esteban Diez; Truong, Yann; Palmer, Mark",2018,
MS,MANAGEMENT SCIENCE,A Partial-Order-Based Model to Estimate Individual Preferences Using Panel Data,"Jagabathula, Srikanth; Vulcano, Gustavo",2018,
JBE,JOURNAL OF BUSINESS ETHICS,The Impact of Acculturation on Immigrants' Business Ethics Attitudes,"Jaffe, Eugene D.; Kushnirovich, Nonna; Tsimerman, Alexandr",2018,
MKTGSC,MARKETING SCIENCE,Analyzing Bank Overdraft Fees with Big Data,"Liu, Xiao; Montgomery, Alan; Srinivasan, Kannan",2018,37
OR,OPERATIONS RESEARCH,Preservation of Structural Properties in Optimization with Decisions Truncated by Random Variables and Its Applications,"Chen, Xin; Gao, Xiangyu; Pang, Zhan",2018,
JMAN,JOURNAL OF MANAGEMENT,An Investigation of Authentic Leadership's Individual and Group Influences on Follower Responses,"Gill, Carol; Caza, Arran",2018,
ROES,REVIEW OF ECONOMIC STUDIES,"Natural Amenities, Neighbourhood Dynamics, and Persistence in the Spatial Distribution of Income","Lee, Sanghoon; Lin, Jeffrey",2018,
JPE,JOURNAL OF POLITICAL ECONOMY,Potential Unemployment Insurance Duration and Labor Supply: The Individual and Market-Level Response to a Benefit Cut,"Johnston, Andrew C.; Mas, Alexandre",2018,126
ROAS,REVIEW OF ACCOUNTING STUDIES,Does financial reporting above or below operating income matter to firms and investors? The case of investment income in China,"Luo, Mei; Shao, Shuai; Zhang, Frank",2018,23
JFE,JOURNAL OF FINANCIAL ECONOMICS,"Investment, Tobin's q, and interest rates","Lin, Xiaoji; Wang, Chong; Wang, Neng; Yang, Jinqiang",2018,130
JBE,JOURNAL OF BUSINESS ETHICS,"Food Waste, Power, and Corporate Social Responsibility in the Australian Food Supply Chain","Devin, Bree; Richards, Carol",2018,
AMJ,ACADEMY OF MANAGEMENT JOURNAL,A SIGNALING THEORY OF INSTITUTIONAL ACTIVISM: HOW NORWAY'S SOVEREIGN WEALTH FUND INVESTMENTS AFFECT FIRMS' FOREIGN ACQUISITIONS,"Vasudeva, Gurneeta; Nachum, Lilac; Say, Gui-Deng",2018,
SEJ,STRATEGIC ENTREPRENEURSHIP JOURNAL,How entrepreneurial ecosystems take form: Evidence from social impact initiatives in Seattle,"Thompson, Tracy A.; Purdy, Jill M.; Ventresca, Marc J.",2018,
HRM,HUMAN RESOURCE MANAGEMENT,The benefits of being understood: The role of ethnic identity confirmation in knowledge acquisition by expatriates,"Fan, Shea X.; Cregan, Christina; Harzing, Anne-Wil; Kohler, Tine",2018,
ISR,INFORMATION SYSTEMS RESEARCH,Effects of Online Recommendations on Consumers' Willingness to Pay,"Adomavicius, Gediminas; Bockstedt, Jesse C.; Curley, Shawn P.; Zhang, Jingjing",2018,
MS,MANAGEMENT SCIENCE,Voluntary Product Safety Certification,"Iyer, Ganesh; Singh, Shubhranshu",2018,
RP,RESEARCH POLICY,Modelling the joint impact of R&D and ICT on productivity: A frontier analysis approach,"Pieri, Fabio; Vecchi, Michela; Venturini, Francesco",2018,47
JM,JOURNAL OF MARKETING,When Celebrities Count: Power Distance Beliefs and Celebrity Endorsements,"Winterich, Karen Page; Gangwar, Manish; Grewal, Rajdeep",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Why Architecture Does Not Matter: On the Fallacy of Sustainability Balanced Scorecards,"Hahn, Tobias; Figge, Frank",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,The Impact of Internal Service Quality on Preventable Adverse Events in Hospitals,"Zheng, Sarah; Tucker, Anita L.; Ren, Z. Justin; Heineke, Janelle; McLaughlin, Amy; Podell, Aubrey L.",2018,27
HBR,HARVARD BUSINESS REVIEW,MARKETING IN THE AGE OF ALEXA,"Dawar, Niraj; Bendle, Neil",2018,
HBR,HARVARD BUSINESS REVIEW,COLLABORATIVE INTELLIGENCE Humans and Al Are Joining Forces,"Wilson, James; Daugherty, Paul R.",2018,
AMJ,ACADEMY OF MANAGEMENT JOURNAL,THE PARADOX OF FAMILY STRUCTURE AND PLANS AFTER WORK: WHY SINGLE CHILDLESS EMPLOYEES MAY BE THE LEAST ABSORBED AT WORK,"Dumas, Tracy L.; Perry-Smith, Jill E.",2018,
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,Do Commodities Add Economic Value inAsset Allocation? New Evidence from Time-Varying Moments,"Gao, Xin; Nardari, Federico",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Employee representation and financial leverage,"Lin, Chen; Schmid, Thomas; Xuan, Yuhai",2018,
ROAS,REVIEW OF ACCOUNTING STUDIES,Financial reporting fraud and other forms of misconduct: a multidisciplinary review of the literature,"Amiram, Dan; Bozanic, Zahn; Cox, James D.; Dupont, Quentin; Karpoff, Jonathan M.; Sloan, Richard",2018,
ROES,REVIEW OF ECONOMIC STUDIES,"Price Dispersion, Private Uncertainty, and Endogenous Nominal Rigidities","Gaballo, Gaetano",2018,
JMR,JOURNAL OF MARKETING RESEARCH,TV Viewing and Advertising Targeting,"Deng, Yiting; Mela, Carl F.",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Protection of trade secrets and capital structure decisions,"Klasa, Sandy; Ortiz-Molina, Hernan; Serfling, Matthew; Srinivasan, Shweta",2018,
OBHDP,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,"The role of ""Prominent Numbers"" in open numerical judgment: Strained decision makers choose from a limited set of accessible numbers","Converse, Benjamin A.; Dennis, Patrick J.",2018,
AMJ,ACADEMY OF MANAGEMENT JOURNAL,FROM EMPLOYEE-EXPERIENCED HIGH-INVOLVEMENT WORK SYSTEM TO INNOVATION: AN EMERGENCE-BASED HUMAN RESOURCE MANAGEMENT FRAMEWORK,"Li, Yixuan; Wang, Mo; Van Jaarsveld, Danielle D.; Lee, Gwendolyn K.; Ma, Dennis G.",2018,61
JM,JOURNAL OF MARKETING,"Self-Selected Sales Incentives: Evidence of their Effectiveness, Persistence, Durability, and Underlying Mechanisms","Bommaraju, Raghu; Hohenberg, Sebastian",2018,82
JBE,JOURNAL OF BUSINESS ETHICS,Insider Trading 2.0? The Ethics of Information Sales,"Angel, James J.; McCabe, Douglas M.",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Should You Kill or Embrace Your Competitor: Cloud Service and Competition Strategy,"Li, Bo; Kumar, Subodha",2018,
RP,RESEARCH POLICY,"The timing of openness in a radical innovation project, a temporal and loose coupling perspective","Bahemia, Hanna; Sillince, John; Vanhaverbeke, Wim",2018,47
ECMTR,ECONOMETRICA,Nonparametric Analysis of Random Utility Models,"Kitamura, Yuichi; Stoye, Jorg",2018,86
MS,MANAGEMENT SCIENCE,Unfair Pay and Health,"Falk, Armin; Kosse, Fabian; Menrath, Ingo; Verde, Pablo E.; Siegrist, Johannes",2018,
HR,HUMAN RELATIONS,Women's employment patterns after childbirth and the perceived access to and use of flexitime and teleworking,"Chung, Heejung; van der Horst, Mariska",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Managing Queueing Systems Where Capacity is Random and Customers are Impatient,"Ibrahim, Rouba",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,The Competitive Landscape of High-Frequency Trading Firms,"Boehmer, Ekkehart; Li, Dan; Saar, Gideon",2018,
MS,MANAGEMENT SCIENCE,Discretionary Task Ordering: Queue Management in Radiological Services,"Ibanez, Maria R.; Clark, Jonathan R.; Huckman, Robert S.; Staats, Bradley R.",2018,64
JPE,JOURNAL OF POLITICAL ECONOMY,Can Words Get in the Way? The Effect of Deliberation in Collective Decision Making,"Iaryczower, Matias; Shi, Xiaoxia; Shum, Matthew",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Pay me now (and later): Pension benefit manipulation before plan freezes and executive retirement,"Stefanescu, Irina; Wang, Yupeng; Xie, Kangzhen; Yang, Jun",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Private equity portfolio company fees,"Phalippou, Ludovic; Rauch, Christian; Umber, Marc",2018,
OS,ORGANIZATION SCIENCE,Goal Relatedness and Learning: Evidence from Hospitals,"Clark, Jonathan R.; Kuppuswamy, Venkat; Staats, Bradley R.",2018,
RP,RESEARCH POLICY,Energy Internet forums as acceleration phase transition intermediaries,"Hyysalo, Sampsa; Juntunen, Jouni K.; Martiskainen, Mani",2018,
JPE,JOURNAL OF POLITICAL ECONOMY,Positive Spillovers and Free Riding in Advertising of Prescription Pharmaceuticals: The Case of Antidepressants,"Shapiro, Bradley T.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Investigating the Impacts of Organizational Factors on Employees' Unethical Behavior Within Organization in the Context of Chinese Firms,"Lin, Xiaolin; Clay, Paul F.; Hajli, Nick; Dadgar, Majid",2018,
HR,HUMAN RELATIONS,"Keeping up with the Joneses: Industry rivalry, commitment to frames and sensemaking failures","Pazzaglia, Federica; Farrell, Maeve; Sonpar, Karan; de Holan, Pablo Martin",2018,
JPE,JOURNAL OF POLITICAL ECONOMY,Optimal Time-Consistent Macroprudential Policy,"Bianchi, Javier; Mendoza, Enrique G.",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Market intraday momentum,"Gao, Lei; Han, Yufeng; Li, Sophia Zhengzi; Zhou, Guofu",2018,
OR,OPERATIONS RESEARCH,Multidimensional Binary Search for Contextual Decision-Making,"Lobel, Ilan; Leme, Renato Paes; Vladua, Adrian",2018,
OS,ORGANIZATION SCIENCE,Slack Time and Innovation,"Agrawal, Ajay; Catalini, Christian; Goldfarb, Avi; Luo, Hong",2018,29
AER,AMERICAN ECONOMIC REVIEW,Monetary Policy According to HANK,"Kaplan, Greg; Moll, Benjamin; Violante, Giovanni L.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Understanding Auditors' Sense of Responsibility for Detecting Fraud Within Organizations,"DeZoort, F. Todd; Harrison, Paul D.",2018,
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,CEO Compensation in Japan: Why So Different from the United States?,"Pan, Luyao; Zhou, Xianming",2018,53
JBE,JOURNAL OF BUSINESS ETHICS,Governance Structure and the Credibility Gap: Experimental Evidence on Family Businesses' Sustainability Reporting,"Hsueh, Josh Wei-Jun",2018,153
MS,MANAGEMENT SCIENCE,Did Government Regulations Lead to Inflated Credit Ratings?,"Behr, Patrick; Kisgen, Darren J.; Taillard, Jerome P.",2018,
ROES,REVIEW OF ECONOMIC STUDIES,Structural Estimation of a Becker-Ehrlich Equilibrium Model of Crime: Allocating Police Across Cities to Reduce Crime,"Fu, Chao; Wolpin, Kenneth, I",2018,85
RP,RESEARCH POLICY,Knowledge dissemination in clinical trials: Exploring influences of institutional support and type of innovation on selective reporting,"Salandra, Rossella",2018,
ASQ,ADMINISTRATIVE SCIENCE QUARTERLY,The Structural Origins of Unearned Status: How Arbitrary Changes in Categories Affect Status Position and Market Impact,"Bowers, Anne; Prato, Matteo",2018,63
CAR,CONTEMPORARY ACCOUNTING RESEARCH,Public Company Audits and City-Specific Labor Characteristics,"Beck, Matthew J.; Francis, Jere R.; Gunn, Joshua L.",2018,
JCP,JOURNAL OF CONSUMER PSYCHOLOGY,To Give or Not to Give? Choosing Chance Under Moral Conflict,"Lin, Stephanie C.; Reich, Taly",2018,
RP,RESEARCH POLICY,Varieties of innovation and business survival: Does pursuit of incremental or far-ranging innovation make manufacturing establishments more resilient?,"Wojan, Timothy R.; Crown, Daniel; Rupasingha, Anil",2018,47
RP,RESEARCH POLICY,A tie is a tie? Gender and network positioning in life science inventor collaboration,"Whittington, Kjersten Bunker",2018,
AMR,ACADEMY OF MANAGEMENT REVIEW,FRIENDS WITHOUT BENEFITS: UNDERSTANDING THE DARK SIDES OF WORKPLACE FRIENDSHIP,"Pillemer, Julianna; Rothbard, Nancy P.",2018,43
MISQ,MIS QUARTERLY,CPOE-ENABLED COORDINATION: APPROPRIATION FOR DEEP STRUCTURE USE AND IMPACTS ON PATIENT OUTCOMES,"Romanow, Darryl; Rai, Arun; Keil, Mark",2018,
AOS,ACCOUNTING ORGANIZATIONS AND SOCIETY,Conforming or transforming? How organizations respond to multiple rankings,"Pollock, Neil; D'Adderio, Luciana; Williams, Robin; Leforestier, Ludovic",2018,
MS,MANAGEMENT SCIENCE,Board Structure Mandates: Consequences for Director Location and Financial Reporting,"Alam, Zinat S.; Chen, Mark A.; Ciccotello, Conrad S.; Ryan, Harley E., Jr.",2018,64
OSTD,ORGANIZATION STUDIES,Organizational Actorhood and the Management of Paradox: A Visual Analysis,"Halgin, Daniel S.; Glynn, Mary Ann; Rockwell, Dean",2018,
MIT,MIT SLOAN MANAGEMENT REVIEW,Building Scalable Business Models,"Nielsen, Christian; Lund, Morten",2018,59
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,Friends with benefits: social coupons as a strategy to enhance customers' social empowerment,"Hanson, Sara; Yuan, Hong",2018,
JMR,JOURNAL OF MARKETING RESEARCH,Intercompetitor Licensing and Product Innovation,"Jiang, Baojun; Shi, Hongyan",2018,55
JM,JOURNAL OF MARKETING,How Consumers' Political Ideology and Status-Maintenance Goals Interact to Shape Their Desire for Luxury Goods,"Kim, Jeehye Christine; Park, Brian; Dubois, David",2018,82
HRM,HUMAN RESOURCE MANAGEMENT,Claiming the corner office: Female CEO careers and implications for leadership development,"Athanasopoulou, Andromachi; Moss-Cowan, Amanda; Smets, Michael; Morris, Timothy",2018,
RP,RESEARCH POLICY,Innovation and government intervention: A comparison of Singapore and Hong Kong,"Wang, Jue",2018,
CAR,CONTEMPORARY ACCOUNTING RESEARCH,Auditors' Use of Formal Advice from Internal Firm Subject Matter Experts: The Impact of Advice Quality and Advice Awareness on Auditors' Judgments,"Wright, Nicole S.; Bhattacharjee, Sudip",2018,
JMR,JOURNAL OF MARKETING RESEARCH,The Determinants and Consequences of Search Cost Heterogeneity: Evidence from Local Gasoline Markets,"Nishida, Mitsukuni; Remer, Marc",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,Vote Avoidance and Shareholder Voting in Mergers and Acquisitions,"Li, Kai; Liu, Tingting; Wu, Juan (Julie)",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Financial intermediation in private equity: How well do funds of funds perform?,"Harris, Robert S.; Jenkinson, Tim; Kaplan, Steven N.; Stucke, Ruediger",2018,
AOS,ACCOUNTING ORGANIZATIONS AND SOCIETY,Performing business and social innovation through accounting inscriptions: An introduction,"Busco, Cristiano; Quattrone, Paolo",2018,
HBR,HARVARD BUSINESS REVIEW,The Best-Performing CEOs in the World,[Anonymous],2018,96
JMAN,JOURNAL OF MANAGEMENT,Simple Word of Mouth or Complex Resource Orchestration for Overcoming Liabilities of Outsidership,"Stoyanov, Stoyan; Woodward, Richard; Stoyanova, Veselina",2018,44
